Alert,Date,Time,Lat,Long,Vehicle,Speed
cas_ldw,01-06-2022,06:21:03,12.763868,80.004497,805,58
cas_hmw,01-06-2022,06:21:48,12.757137,80.002432,805,58
cas_ldw,01-06-2022,06:22:20,12.753059,80.000121,805,57
cas_ldw,01-06-2022,06:22:40,12.751096,79.998814,805,58
cas_ldw,01-06-2022,06:22:59,12.749247,79.997342,805,58
cas_ldw,01-06-2022,06:23:20,12.74555,79.994405,805,58
cas_ldw,01-06-2022,06:23:26,12.74555,79.994405,805,58
cas_ldw,01-06-2022,06:23:52,12.741998,79.991535,805,58
cas_ldw,01-06-2022,06:24:57,13.024305,80.228471,2846,0
cas_fcw,01-06-2022,06:26:32,12.724588,79.982251,805,33
cas_ldw,01-06-2022,06:27:01,12.722392,79.981537,805,45
cas_hmw,01-06-2022,06:27:15,13.031173,80.239814,2846,28
cas_ldw,01-06-2022,06:28:19,12.711256,79.978734,805,58
cas_ldw,01-06-2022,06:28:54,12.709089,79.977492,805,58
cas_hmw,01-06-2022,06:29:02,12.709089,79.977492,805,58
cas_ldw,01-06-2022,06:29:33,12.705469,79.97456,805,58
cas_ldw,01-06-2022,06:29:53,12.701326,79.969416,805,58
cas_hmw,01-06-2022,06:30:10,13.039036,80.246748,2846,17
cas_hmw,01-06-2022,06:30:21,12.697469,79.9672,805,60
cas_hmw,01-06-2022,06:30:23,12.697469,79.9672,805,60
cas_ldw,01-06-2022,06:30:44,12.693691,79.965188,805,57
cas_hmw,01-06-2022,06:30:49,13.042432,80.247439,2846,37
cas_hmw,01-06-2022,06:31:59,12.685681,79.959317,805,23
cas_hmw,01-06-2022,06:32:11,12.684891,79.959075,805,21
cas_hmw,01-06-2022,06:32:19,12.684891,79.959075,805,21
cas_hmw,01-06-2022,06:32:21,13.053062,80.251879,2846,56
cas_ldw,01-06-2022,06:33:01,12.682063,79.958519,805,57
cas_ldw,01-06-2022,06:33:29,12.677238,79.958585,805,58
cas_ldw,01-06-2022,06:33:49,12.672678,79.958665,805,58
cas_pcw,01-06-2022,06:34:05,13.060628,80.25437,2846,42
cas_fcw,01-06-2022,06:34:09,13.061608,80.254414,2846,26
cas_fcw,01-06-2022,06:34:11,13.061608,80.254414,2846,26
cas_ldw,01-06-2022,06:34:26,12.668296,79.958761,805,58
cas_ldw,01-06-2022,06:34:35,12.668296,79.958761,805,58
cas_ldw,01-06-2022,06:34:54,12.664172,79.960529,805,57
cas_ldw,01-06-2022,06:35:10,12.661947,79.961164,805,57
cas_ldw,01-06-2022,06:35:43,12.658153,79.95926,805,59
cas_hmw,01-06-2022,06:36:28,12.655738,79.952993,805,58
cas_ldw,01-06-2022,06:36:49,12.656157,79.950818,805,58
cas_ldw,01-06-2022,06:37:21,12.657324,79.946719,805,44
cas_ldw,01-06-2022,06:37:29,12.657324,79.946719,805,44
cas_ldw,01-06-2022,06:37:51,12.656077,79.941901,805,58
cas_ldw,01-06-2022,06:38:16,12.653916,79.942239,805,58
cas_ldw,01-06-2022,06:38:26,12.651766,79.941969,805,57
cas_hmw,01-06-2022,06:41:23,12.630791,79.931575,805,58
cas_fcw,01-06-2022,06:41:35,12.630791,79.931575,805,58
cas_ldw,01-06-2022,06:42:00,12.628494,79.930584,805,58
cas_ldw,01-06-2022,06:42:58,12.624184,79.928729,805,57
cas_ldw,01-06-2022,06:43:12,12.624184,79.928729,805,57
cas_ldw,01-06-2022,06:43:17,12.622224,79.927889,805,51
cas_ldw,01-06-2022,06:43:23,12.620168,79.927159,805,62
cas_ldw,01-06-2022,06:43:39,12.615635,79.925932,805,58
cas_ldw,01-06-2022,06:43:52,12.613563,79.924807,805,58
cas_ldw,01-06-2022,06:44:16,12.611517,79.923634,805,58
cas_ldw,01-06-2022,06:44:57,12.605253,79.920768,805,58
cas_ldw,01-06-2022,06:45:32,12.600634,79.920036,805,58
cas_ldw,01-06-2022,06:46:15,12.593493,79.919307,805,58
cas_hmw,01-06-2022,06:46:41,12.586458,79.919519,805,58
cas_ldw,01-06-2022,06:47:58,12.573016,79.916544,805,58
cas_ldw,01-06-2022,06:48:53,12.566076,79.914688,805,57
cas_ldw,01-06-2022,06:49:54,12.558008,79.910184,805,51
cas_ldw,01-06-2022,06:50:07,12.558008,79.910184,805,51
cas_ldw,01-06-2022,06:50:28,12.556565,79.909357,805,38
cas_ldw,01-06-2022,06:50:50,12.554666,79.908276,805,61
cas_ldw,01-06-2022,06:51:55,12.543341,79.904965,805,58
cas_ldw,01-06-2022,06:52:14,12.541036,79.904535,805,58
cas_ldw,01-06-2022,06:52:20,12.538751,79.904113,805,53
cas_ldw,01-06-2022,06:52:27,12.538751,79.904113,805,53
cas_ldw,01-06-2022,06:52:58,12.534756,79.901778,805,58
cas_ldw,01-06-2022,06:53:22,12.530507,79.899774,805,58
cas_ldw,01-06-2022,06:53:55,12.526309,79.897648,805,58
cas_ldw,01-06-2022,06:54:31,12.524034,79.896632,805,58
cas_ldw,01-06-2022,06:55:37,12.517021,79.890442,805,58
cas_hmw,01-06-2022,07:06:38,12.509666,79.884816,805,17
cas_hmw,01-06-2022,07:06:46,12.509666,79.884816,805,17
cas_ldw,01-06-2022,07:08:32,12.516883,79.887983,805,0
cas_ldw,01-06-2022,07:09:22,12.518274,79.89167,805,37
cas_ldw,01-06-2022,07:09:37,12.519849,79.893262,805,58
cas_ldw,01-06-2022,07:09:52,12.519849,79.893262,805,58
cas_ldw,01-06-2022,07:10:54,12.525591,79.897179,805,58
cas_ldw,01-06-2022,07:11:14,12.531729,79.90024,805,34
cas_ldw,01-06-2022,07:11:25,12.533717,79.901075,805,60
cas_ldw,01-06-2022,07:11:45,12.535888,79.902284,805,56
cas_ldw,01-06-2022,07:11:55,12.535888,79.902284,805,56
cas_hmw,01-06-2022,07:12:09,13.071684,80.259156,2846,23
cas_ldw,01-06-2022,07:12:53,12.543551,79.904835,805,0
cas_hmw,01-06-2022,07:13:04,13.073034,80.261821,2846,20
cas_ldw,01-06-2022,07:13:15,12.544251,79.904965,805,34
cas_ldw,01-06-2022,07:13:23,12.546179,79.905313,805,60
cas_ldw,01-06-2022,07:14:55,12.554801,79.908159,805,58
cas_ldw,01-06-2022,07:15:33,12.559018,79.910573,805,58
cas_hmw,01-06-2022,07:15:40,13.068967,80.267456,2846,28
cas_ldw,01-06-2022,07:16:15,12.563206,79.91303,805,58
cas_ldw,01-06-2022,07:16:42,12.569897,79.915546,805,58
cas_hmw,01-06-2022,07:16:46,12.572158,79.916154,805,58
cas_ldw,01-06-2022,07:17:00,12.574589,79.916705,805,58
cas_pcw,01-06-2022,07:17:05,13.066903,80.273656,2846,18
cas_ldw,01-06-2022,07:17:10,12.576887,79.917167,805,57
cas_ldw,01-06-2022,07:18:37,12.588822,79.919274,805,57
cas_pcw,01-06-2022,07:18:38,13.062345,80.274259,2846,23
cas_ldw,01-06-2022,07:19:16,12.593799,79.919159,805,58
cas_ldw,01-06-2022,07:19:27,12.593799,79.919159,805,58
cas_pcw,01-06-2022,07:19:59,13.061044,80.274416,2846,9
cas_ldw,01-06-2022,07:20:30,12.605689,79.920737,805,58
cas_ldw,01-06-2022,07:20:51,12.60793,79.921399,805,58
cas_ldw,01-06-2022,07:21:09,12.60793,79.921399,805,58
cas_ldw,01-06-2022,07:21:27,12.610107,79.922633,805,58
cas_ldw,01-06-2022,07:21:38,12.614301,79.925073,805,58
cas_pcw,01-06-2022,07:21:40,13.056923,80.273946,2846,25
cas_ldw,01-06-2022,07:21:42,12.614301,79.925073,805,58
cas_ldw,01-06-2022,07:21:56,12.616414,79.926094,805,57
cas_ldw,01-06-2022,07:22:06,12.618631,79.926673,805,57
cas_ldw,01-06-2022,07:22:24,12.621043,79.927266,805,58
cas_ldw,01-06-2022,07:22:52,12.625384,79.929079,805,58
cas_ldw,01-06-2022,07:23:03,12.625384,79.929079,805,58
cas_pcw,01-06-2022,07:23:17,12.627557,79.930026,805,54
cas_ldw,01-06-2022,07:24:02,12.631252,79.93158,805,47
cas_ldw,01-06-2022,07:24:22,12.633258,79.932462,805,59
cas_ldw,01-06-2022,07:24:33,12.635534,79.933484,805,58
cas_ldw,01-06-2022,07:25:06,12.637539,79.934687,805,58
cas_hmw,01-06-2022,07:25:27,12.641655,79.937271,805,58
cas_hmw,01-06-2022,07:27:05,12.653916,79.940029,805,55
cas_hmw,01-06-2022,07:28:36,12.657813,79.941476,805,56
cas_ldw,01-06-2022,07:29:07,12.656141,79.951721,805,37
cas_hmw,01-06-2022,07:29:09,13.05436,80.258608,2846,42
cas_hmw,01-06-2022,07:29:25,13.054712,80.254456,2846,21
cas_hmw,01-06-2022,07:29:33,13.053204,80.252145,2846,46
cas_pcw,01-06-2022,07:30:19,13.049029,80.249786,2846,39
cas_ldw,01-06-2022,07:32:19,12.66477,79.968914,805,46
cas_ldw,01-06-2022,07:32:33,12.666115,79.970296,805,53
cas_hmw,01-06-2022,07:32:45,13.040589,80.24727,2846,34
cas_hmw,01-06-2022,07:32:53,13.03978,80.247116,2846,29
cas_ldw,01-06-2022,07:32:56,12.667518,79.972042,805,54
cas_hmw,01-06-2022,07:32:58,13.03978,80.247116,2846,29
cas_ldw,01-06-2022,07:33:20,13.036987,80.246466,2846,54
cas_hmw,01-06-2022,07:33:53,13.034943,80.245836,2846,18
cas_hmw,01-06-2022,07:36:58,13.026211,80.232366,2846,18
cas_hmw,01-06-2022,07:38:04,13.02456,80.22893,2846,24
cas_hmw,01-06-2022,07:38:37,13.023507,80.227613,2846,36
cas_hmw,01-06-2022,07:38:45,13.022054,80.226318,2846,37
cas_hmw,01-06-2022,07:38:55,13.021284,80.225772,2846,34
cas_hmw,01-06-2022,07:42:02,13.012879,80.226848,2846,44
cas_hmw,01-06-2022,07:42:31,13.009793,80.226996,2846,39
cas_hmw,01-06-2022,07:43:35,13.011305,80.223556,2846,10
cas_hmw,01-06-2022,07:43:52,13.011501,80.223093,2846,29
cas_pcw,01-06-2022,07:44:43,12.696756,79.976834,805,18
cas_pcw,01-06-2022,07:45:04,12.697349,79.976465,805,27
cas_hmw,01-06-2022,07:45:50,12.697702,79.976182,805,17
cas_hmw,01-06-2022,07:45:53,13.010958,80.217332,2846,52
cas_ldw,01-06-2022,07:47:18,12.697172,79.972959,805,0
cas_hmw,01-06-2022,07:47:21,13.010101,80.214912,2846,51
cas_hmw,01-06-2022,07:47:27,13.009668,80.2136,2846,55
cas_hmw,01-06-2022,07:47:32,13.009668,80.2136,2846,55
cas_ldw,01-06-2022,07:47:58,12.697174,79.97278,805,15
cas_ldw,01-06-2022,07:48:11,12.697246,79.972323,805,24
cas_hmw,01-06-2022,07:48:53,13.008908,80.211645,2846,28
cas_hmw,01-06-2022,07:49:08,12.697522,79.971618,805,0
cas_ldw,01-06-2022,07:49:52,12.703252,79.971392,805,58
cas_ldw,01-06-2022,07:50:16,12.703252,79.971392,805,58
cas_hmw,01-06-2022,07:51:03,13.003073,80.200804,2846,42
cas_hmw,01-06-2022,07:51:12,13.000922,80.195361,2846,34
cas_ldw,01-06-2022,07:51:24,12.706974,79.975984,805,58
cas_hmw,01-06-2022,07:51:43,12.71422,79.98012,805,46
cas_ldw,01-06-2022,07:53:05,12.729431,79.98269,805,53
cas_hmw,01-06-2022,07:53:16,12.989675,80.179192,2846,0
cas_ldw,01-06-2022,07:53:42,12.729431,79.98269,805,53
cas_hmw,01-06-2022,07:53:52,12.729431,79.98269,805,53
cas_ldw,01-06-2022,07:54:21,12.98962,80.17912,2846,15
cas_hmw,01-06-2022,07:54:27,12.986855,80.175451,2846,50
cas_ldw,01-06-2022,07:54:39,12.986855,80.175451,2846,50
cas_ldw,01-06-2022,07:55:08,12.986572,80.175039,2846,0
cas_ldw,01-06-2022,07:55:08,12.734727,79.985256,805,47
cas_hmw,01-06-2022,07:55:13,12.986581,80.175037,2846,0
cas_ldw,01-06-2022,07:55:22,12.734727,79.985256,805,47
cas_ldw,01-06-2022,07:55:29,12.734727,79.985256,805,47
cas_ldw,01-06-2022,07:56:12,12.985944,80.174062,2846,45
cas_ldw,01-06-2022,07:57:01,12.985944,80.174062,2846,45
cas_hmw,01-06-2022,07:57:22,12.985184,80.172958,2846,56
cas_ldw,01-06-2022,07:58:02,12.744173,79.993056,805,44
cas_ldw,01-06-2022,07:58:32,12.745215,79.993895,805,57
cas_hmw,01-06-2022,07:59:27,12.980644,80.165306,2846,58
cas_ldw,01-06-2022,08:00:12,12.748661,79.996718,805,58
cas_hmw,01-06-2022,08:00:36,12.972456,80.151849,2846,24
cas_hmw,01-06-2022,08:00:38,12.972404,80.151786,2846,0
cas_hmw,01-06-2022,08:01:37,12.966983,80.148989,2846,12
cas_hmw,01-06-2022,08:02:04,12.96606,80.148542,2846,29
cas_ldw,01-06-2022,08:02:24,12.780423,80.011834,805,58
cas_ldw,01-06-2022,08:04:14,12.955655,80.142948,2846,28
cas_ldw,01-06-2022,08:04:17,12.793861,80.019282,805,54
cas_hmw,01-06-2022,08:04:20,12.795164,80.020115,805,54
cas_ldw,01-06-2022,08:04:21,12.954831,80.142517,2846,41
cas_hmw,01-06-2022,08:04:39,12.953242,80.141675,2846,21
cas_ldw,01-06-2022,08:04:48,12.796396,80.020924,805,60
cas_hmw,01-06-2022,08:04:50,12.953242,80.141675,2846,21
cas_hmw,01-06-2022,08:05:22,12.951464,80.140379,2846,30
cas_ldw,01-06-2022,08:05:54,12.947855,80.137546,2846,52
cas_ldw,01-06-2022,08:05:55,12.807471,80.028184,805,58
cas_hmw,01-06-2022,08:05:56,12.947855,80.137546,2846,52
cas_ldw,01-06-2022,08:07:08,12.8219,80.037912,805,42
cas_ldw,01-06-2022,08:07:20,12.824217,80.039564,805,57
cas_ldw,01-06-2022,08:07:41,12.826686,80.041408,805,58
cas_hmw,01-06-2022,08:07:51,12.93565,80.126782,2846,27
cas_hmw,01-06-2022,08:08:05,12.934934,80.126131,2846,44
cas_hmw,01-06-2022,08:08:12,12.934045,80.125261,2846,52
cas_hmw,01-06-2022,08:08:55,12.930063,80.121326,2846,54
cas_hmw,01-06-2022,08:09:30,12.836011,80.051273,805,58
cas_ldw,01-06-2022,08:09:55,12.837029,80.052345,805,57
cas_hmw,01-06-2022,08:11:13,12.926884,80.118105,2846,12
cas_ldw,01-06-2022,08:11:27,12.926884,80.118105,2846,12
cas_pcw,01-06-2022,08:11:56,12.841825,80.057242,805,36
cas_ldw,01-06-2022,08:12:23,12.926447,80.117631,2846,23
cas_ldw,01-06-2022,08:12:38,12.925127,80.116272,2846,38
cas_hmw,01-06-2022,08:13:18,12.920216,80.111283,2846,58
cas_hmw,01-06-2022,08:13:34,12.917444,80.10787,2846,54
cas_hmw,01-06-2022,08:14:03,12.910552,80.101074,2846,52
cas_hmw,01-06-2022,08:14:06,12.910552,80.101074,2846,52
cas_ldw,01-06-2022,08:14:51,12.856616,80.069507,805,56
cas_pcw,01-06-2022,08:17:22,12.906203,80.096338,2846,0
cas_hmw,01-06-2022,08:17:53,12.90601,80.096193,2846,16
cas_hmw,01-06-2022,08:18:06,12.905251,80.095648,2846,19
cas_hmw,01-06-2022,08:18:12,12.865479,80.074644,805,39
cas_ldw,01-06-2022,08:18:37,12.904063,80.094763,2846,34
cas_ldw,01-06-2022,08:18:46,12.866991,80.075232,805,40
cas_ldw,01-06-2022,08:19:13,12.869731,80.076324,805,33
cas_hmw,01-06-2022,08:19:16,12.869731,80.076324,805,33
cas_hmw,01-06-2022,08:19:24,12.900835,80.092213,2846,49
cas_ldw,01-06-2022,08:19:47,12.899776,80.091433,2846,53
cas_ldw,01-06-2022,08:20:47,13.006265,80.127376,1995,58
cas_hmw,01-06-2022,08:20:47,12.886148,80.083047,2846,61
cas_hmw,01-06-2022,08:21:29,12.999845,80.12545,1995,58
cas_hmw,01-06-2022,08:24:06,12.984884,80.120986,1995,58
cas_ldw,01-06-2022,08:25:24,12.980213,80.120703,1995,58
cas_ldw,01-06-2022,08:25:46,12.975876,80.11964,1995,55
cas_hmw,01-06-2022,10:04:18,12.877598,80.084304,5339,20
cas_ldw,01-06-2022,10:05:27,12.878192,80.082679,5339,45
cas_ldw,01-06-2022,10:05:29,12.878192,80.082679,5339,45
cas_ldw,01-06-2022,10:05:34,12.878592,80.081554,5339,44
cas_hmw,01-06-2022,10:06:56,12.864632,80.074536,5339,43
cas_ldw,01-06-2022,11:37:13,12.883423,80.081633,2846,39
cas_ldw,01-06-2022,11:39:39,12.888186,80.072965,2846,51
cas_ldw,01-06-2022,11:40:27,12.899835,80.070503,2846,47
cas_ldw,01-06-2022,11:40:44,12.903626,80.071327,2846,51
cas_ldw,01-06-2022,11:41:42,12.916262,80.075306,2846,56
cas_ldw,01-06-2022,11:42:02,12.91892,80.076137,2846,53
cas_ldw,01-06-2022,11:42:18,12.921342,80.076843,2846,53
cas_ldw,01-06-2022,11:42:39,12.924206,80.077729,2846,58
cas_ldw,01-06-2022,11:44:51,12.93394,80.081321,2846,52
cas_ldw,01-06-2022,11:46:02,12.943832,80.084967,2846,61
cas_ldw,01-06-2022,11:46:41,12.947817,80.086464,2846,52
cas_ldw,01-06-2022,11:46:59,12.950664,80.087538,2846,55
cas_ldw,01-06-2022,11:47:40,12.955171,80.089269,2846,0
cas_pcw,01-06-2022,11:50:19,12.966529,80.090406,2846,10
cas_ldw,01-06-2022,12:01:11,12.853269,80.066929,5339,3
cas_hmw,01-06-2022,12:02:05,12.854437,80.0679,5339,39
cas_ldw,01-06-2022,12:05:08,12.866663,80.07517,5339,0
cas_ldw,01-06-2022,12:10:51,12.884343,80.082014,5339,0
cas_pcw,01-06-2022,12:16:28,12.878925,80.080781,5339,14
cas_pcw,01-06-2022,16:31:38,12.875752,80.083842,805,3
cas_hmw,01-06-2022,16:32:46,12.878074,80.083032,805,49
cas_ldw,01-06-2022,16:36:08,12.878899,80.080271,805,19
cas_ldw,01-06-2022,16:36:28,12.875727,80.078974,805,61
cas_ldw,01-06-2022,16:36:53,12.873168,80.077852,805,56
cas_ldw,01-06-2022,16:38:44,12.864328,80.07445,805,54
cas_hmw,01-06-2022,16:40:14,12.859471,80.07196,805,35
cas_hmw,01-06-2022,16:40:18,12.859471,80.07196,805,35
cas_ldw,01-06-2022,16:40:32,12.858672,80.071359,805,45
cas_hmw,01-06-2022,16:40:46,12.856501,80.069621,805,56
cas_ldw,01-06-2022,16:41:09,12.855349,80.068764,805,57
cas_ldw,01-06-2022,16:41:21,12.854186,80.067912,805,59
cas_hmw,01-06-2022,16:41:42,12.850645,80.06538,805,47
cas_hmw,01-06-2022,16:41:43,12.850645,80.06538,805,47
cas_hmw,01-06-2022,16:45:02,12.84065,80.056479,805,0
cas_ldw,01-06-2022,16:45:11,12.840297,80.056058,805,32
cas_ldw,01-06-2022,16:45:30,12.839004,80.054618,805,59
cas_ldw,01-06-2022,16:46:02,12.837355,80.052884,805,59
cas_hmw,01-06-2022,16:46:33,12.832443,80.047778,805,57
cas_ldw,01-06-2022,16:47:34,12.830615,80.045825,805,21
cas_ldw,01-06-2022,16:48:01,12.829548,80.044676,805,52
cas_ldw,01-06-2022,16:48:09,12.827912,80.043004,805,56
cas_hmw,01-06-2022,16:48:53,12.821134,80.037588,805,31
cas_ldw,01-06-2022,16:49:12,12.821134,80.037588,805,31
cas_ldw,01-06-2022,16:49:18,12.819882,80.036703,805,49
cas_ldw,01-06-2022,16:51:13,12.806352,80.027635,805,59
cas_hmw,01-06-2022,16:51:56,12.80241,80.025049,805,57
cas_hmw,01-06-2022,16:52:39,12.798124,80.022267,805,50
cas_hmw,01-06-2022,16:52:41,12.798124,80.022267,805,50
cas_hmw,01-06-2022,16:52:41,12.798124,80.022267,805,50
cas_ldw,01-06-2022,16:56:19,12.785177,80.014144,805,58
cas_ldw,01-06-2022,16:57:27,12.778881,80.011305,805,58
cas_ldw,01-06-2022,16:57:40,12.778881,80.011305,805,58
cas_ldw,01-06-2022,16:59:47,12.757106,80.002442,805,58
cas_ldw,01-06-2022,17:01:09,12.749089,79.997278,805,57
cas_ldw,01-06-2022,17:01:22,12.749089,79.997278,805,57
cas_fcw,01-06-2022,17:01:28,12.747127,79.995694,805,58
cas_ldw,01-06-2022,17:03:48,12.742694,79.992134,805,17
cas_hmw,01-06-2022,17:06:26,12.723498,79.981837,805,28
cas_ldw,01-06-2022,17:07:22,12.721416,79.981373,805,32
cas_ldw,01-06-2022,17:07:58,12.71589,79.980717,805,58
cas_hmw,01-06-2022,17:09:18,12.704411,79.973162,805,48
cas_hmw,01-06-2022,17:09:36,12.703771,79.972302,805,40
cas_ldw,01-06-2022,17:09:40,12.703024,79.971372,805,50
cas_hmw,01-06-2022,17:09:55,12.702188,79.970316,805,53
cas_hmw,01-06-2022,17:10:00,12.702188,79.970316,805,53
cas_hmw,01-06-2022,17:12:40,12.69758,79.975137,805,31
cas_hmw,01-06-2022,17:14:39,12.694532,79.978446,805,28
cas_pcw,01-06-2022,17:15:05,12.693963,79.979027,805,0
cas_pcw,01-06-2022,17:15:54,12.691746,79.980376,805,24
cas_pcw,01-06-2022,17:16:05,12.691414,79.980685,805,17
cas_pcw,01-06-2022,17:19:01,12.684107,79.983364,805,0
cas_hmw,01-06-2022,17:20:15,12.681486,79.981856,805,37
cas_hmw,01-06-2022,17:20:18,12.680532,79.981268,805,38
cas_hmw,01-06-2022,17:20:19,12.680532,79.981268,805,38
cas_pcw,01-06-2022,17:21:28,12.678134,79.979764,805,12
cas_ldw,01-06-2022,17:24:05,12.672862,79.976434,805,42
cas_ldw,01-06-2022,17:24:28,12.672862,79.976434,805,42
cas_ldw,01-06-2022,17:25:06,12.66334,79.968081,805,57
cas_ldw,01-06-2022,17:26:04,12.659546,79.963548,805,59
cas_ldw,01-06-2022,17:27:06,12.657156,79.957148,805,31
cas_ldw,01-06-2022,17:27:30,12.656529,79.955378,805,57
cas_hmw,01-06-2022,17:30:00,12.653173,79.942308,805,51
cas_ldw,01-06-2022,17:30:27,12.649416,79.941202,805,51
cas_hmw,01-06-2022,17:30:47,12.647325,79.940521,805,50
cas_ldw,01-06-2022,17:32:33,12.635872,79.933815,805,53
cas_ldw,01-06-2022,17:33:09,12.630513,79.93147,805,52
cas_ldw,01-06-2022,17:33:25,12.628899,79.930716,805,51
cas_ldw,01-06-2022,17:33:48,12.624906,79.928999,805,57
cas_ldw,01-06-2022,17:34:27,12.620676,79.927323,805,58
cas_hmw,01-06-2022,17:34:33,12.618543,79.926772,805,58
cas_ldw,01-06-2022,17:34:44,12.616413,79.926202,805,57
cas_ldw,01-06-2022,17:35:05,12.614432,79.925271,805,58
cas_hmw,01-06-2022,17:35:10,12.614432,79.925271,805,58
cas_hmw,01-06-2022,17:35:13,12.612638,79.924241,805,55
cas_ldw,01-06-2022,17:35:36,12.610842,79.923215,805,58
cas_ldw,01-06-2022,17:35:46,12.609115,79.922207,805,48
cas_ldw,01-06-2022,17:36:07,12.607986,79.92155,805,43
cas_ldw,01-06-2022,17:36:26,12.60606,79.920885,805,57
cas_ldw,01-06-2022,17:36:54,12.60171,79.920147,805,58
cas_ldw,01-06-2022,17:37:02,12.599377,79.919906,805,58
cas_ldw,01-06-2022,17:38:05,12.59004,79.919344,805,58
cas_ldw,01-06-2022,17:38:16,12.59004,79.919344,805,58
cas_hmw,01-06-2022,17:39:18,12.580941,79.918765,805,58
cas_hmw,01-06-2022,17:39:25,12.578793,79.917837,805,58
cas_ldw,01-06-2022,17:39:38,12.578793,79.917837,805,58
cas_hmw,01-06-2022,17:39:43,12.576391,79.917196,805,57
cas_hmw,01-06-2022,17:39:50,12.576391,79.917196,805,57
cas_hmw,01-06-2022,17:40:18,12.571883,79.916218,805,55
cas_ldw,01-06-2022,17:43:01,12.551896,79.907017,805,58
cas_ldw,01-06-2022,17:43:28,12.549708,79.906166,805,58
cas_ldw,01-06-2022,17:43:51,12.544951,79.905251,805,58
cas_ldw,01-06-2022,17:44:03,12.542846,79.904844,805,51
cas_ldw,01-06-2022,17:45:41,12.531385,79.900272,805,0
cas_ldw,01-06-2022,17:46:02,12.531385,79.900272,805,0
cas_fcw,01-06-2022,17:46:32,12.528537,79.898806,805,59
cas_ldw,01-06-2022,17:46:36,12.528537,79.898806,805,59
cas_hmw,01-06-2022,17:48:53,12.514417,79.888285,805,17
cas_pcw,01-06-2022,17:50:44,12.510567,79.88506,805,0
cas_ldw,01-06-2022,17:52:57,12.506524,79.880657,805,0
