SLNO,ZONE,WARD,HOSPITAL NAME,ADDRESS,ADDRESS,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Postal code,City,Country,Region
23,01-Thiruvottyur,005,RAMANATHAPURAM MATERNITY CENTR,"1,RAMANATHAPURAM THIRUVOTTIYUR WIMCO
600057","1,RAMANATHAPURAM THIRUVOTTIYUR WIMCO
600057","Ok, partial match","Ramanathapuram, Tiruvottiyur, Chennai, Tamil Nadu 600057, India",13.1824931,80.3052932,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Chennai,India,Tamil Nadu
24,01-Thiruvottyur,008,SUGAM HOSPITAL,"349,T.H ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019","349,T.H ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019",Ok,"349, Thiruvottiyur High Rd, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1683443,80.304428,premise,ROOFTOP,600019,Chennai,India,Tamil Nadu
25,01-Thiruvottyur,008,AAKASH HOSPITAL,"395,T.H.ROAD THIRUVOTTIYUR AJAX 600019","395,T.H.ROAD THIRUVOTTIYUR AJAX 600019","2 found, use single geocode.","395, Thiruvottiyur High Rd, Rettai Malai Srinivasan Nagar, Manickam Nagar, Ajax, Chennai, Tamil Nadu 600019, India",13.1721553,80.3052465,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
26,01-Thiruvottyur,008,SUGAM HOSPITAL,"349,T. H. ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019","349,T. H. ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019",Ok,"349, Thiruvottiyur High Rd, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1683443,80.304428,premise,ROOFTOP,600019,Chennai,India,Tamil Nadu
27,01-Thiruvottyur,009,PRASATH ENT 7 GYNEC CLINIC,"914,T.H. ROAD THIRUVOTTIYUR STATE BAND OF
INDIA 600019","914,T.H. ROAD THIRUVOTTIYUR STATE BAND OF
INDIA 600019","Ok, partial match","914, Thiruvottiyur High Rd, Sathiyamoorthy Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1560761,80.3014298,premise,ROOFTOP,600019,Chennai,India,Tamil Nadu
28,01-Thiruvottyur,010,VINAYAK CLINIC,"76,SOUTH MADA STREET THIRUVOTTIYUR THERADI
600019","76,SOUTH MADA STREET THIRUVOTTIYUR THERADI
600019",Ok,"76, S Mada St, Tirumalai Avenue, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1582597,80.3008369,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
29,01-Thiruvottyur,010,MUNICIPAL MATERNITY HOME,"941A,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","941A,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","941, Thiruvottiyur High Rd, Thangal, Vasantha Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1485375,80.298534,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
30,01-Thiruvottyur,010,MUNICIPAL MATERNITY HOME,"276,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","276,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","276, Thiruvottiyur High Rd, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1629902,80.3033609,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
31,01-Thiruvottyur,010,LAKSHMI RAM  HOSPITAL,"16,SANNATHI STREET THERADI THIRUVOTTIYUR
THERADI 600019","16,SANNATHI STREET THERADI THIRUVOTTIYUR
THERADI 600019",Ok,"21/16, Sannathi St, Gopal Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1606257,80.3019813,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
32,01-Thiruvottyur,010,S.S.S HOSPITAL,"924,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","924,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","924, Thiruvottiyur High Rd, Sathiyamoorthy Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1575557,80.3016441,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
33,01-Thiruvottyur,010,JAGADEESH NURSHING HOME,"941A,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","941A,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","941, Thiruvottiyur High Rd, Thangal, Vasantha Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1485375,80.298534,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
34,01-Thiruvottyur,010,MUNICIPAL MATERNITY HOME,"276,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","276,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","276, Thiruvottiyur High Rd, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1629902,80.3033609,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
35,01-Thiruvottyur,011,SSS HOSPITAL,"924, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019","924, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019",Ok,"924, Thiruvottiyur High Rd, Sathiyamoorthy Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1575557,80.3016441,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
36,01-Thiruvottyur,011,GOVERNMENT HOSPITAL,NO.181 TH ROAD THIRUVOTTIYUR CHENNAI 600019,NO.181 TH ROAD THIRUVOTTIYUR CHENNAI 600019,Ok,"181, Thiruvottiyur High Rd, Tirumalai Avenue, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1566601,80.3012666,premise,ROOFTOP,600019,Chennai,India,Tamil Nadu
37,01-Thiruvottyur,011,PRASADS MULTI SPECIALITY HOSPITAL,"NO. 949, TH ROAD, THIRUVOTTIYUR CHENNAI 600019","NO. 949, TH ROAD, THIRUVOTTIYUR CHENNAI 600019",Ok,"949, Thiruvottiyur High Rd, Sathiyamoorthy Nagar, Kaladipet, Tondiarpet, Chennai, Tamil Nadu 600019, India",13.1560188,80.3013523,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
38,01-Thiruvottyur,011,SRI TANISHQ NAKSHATHRA,"NO.170, TH ROAD, THIRUVOTTIYUR CHENNAI 600019","NO.170, TH ROAD, THIRUVOTTIYUR CHENNAI 600019",Ok,"170, Thiruvottiyur High Rd, Tirumalai Avenue, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1561207,80.3011089,premise,ROOFTOP,600019,Chennai,India,Tamil Nadu
39,01-Thiruvottyur,011,KURINCHI HOSPITAL,"964, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019","964, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019",Ok,"964, Thiruvottiyur High Rd, Sbi Colony, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.153805,80.300571,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
40,01-Thiruvottyur,012,SHANMUGA SURGICAL AND MEDICAL CENTRE,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,"Ok, partial match","Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1588937,80.3032037,"political, sublocality, sublocality_level_2",APPROXIMATE,600019,Chennai,India,Tamil Nadu
41,01-Thiruvottyur,012,SHANMUGA SURGICAL & MEDICAL CENTRE,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,"Ok, partial match","Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1588937,80.3032037,"political, sublocality, sublocality_level_2",APPROXIMATE,600019,Chennai,India,Tamil Nadu
42,01-Thiruvottyur,012,SHANMUGA SURGICAL AND MEDICAL CENTRE,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,1030/96 THIRUVOTTIYUR RAJAKADAI 600019,"Ok, partial match","Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1588937,80.3032037,"political, sublocality, sublocality_level_2",APPROXIMATE,600019,Chennai,India,Tamil Nadu
43,01-Thiruvottyur,012,KURINJI HOSPITAL,"964,T.H ROAD THIRUVOTTIYUR KALADIPET POLICE
STATION  600019","964,T.H ROAD THIRUVOTTIYUR KALADIPET POLICE
STATION 600019","Ok, partial match","964, Thiruvottiyur High Rd, Sbi Colony, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.153805,80.300571,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
44,01-Thiruvottyur,012,ROHIT HOSPITAL,"1030/96,T.H.ROAD THIRUVOTTIYUR RAJAKADAI
600019","1030/96,T.H.ROAD THIRUVOTTIYUR RAJAKADAI
600019",Ok,"1030, Thiruvottiyur High Rd, Thangal, Vasantha Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1485205,80.2985271,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
45,01-Thiruvottyur,012,SHANMUGAM SURG & MED CENTRE,"1031,T. H. ROAD THIRUVOTTIYUR RAJAKADAI 600019","1031,T. H. ROAD THIRUVOTTIYUR RAJAKADAI 600019",Ok,"1031, Thiruvottiyur High Rd, Thangal, Vasantha Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1485203,80.2985271,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
46,01-Thiruvottyur,012,GOVT HOSPITAL,"277,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","277,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019","2 found, use single geocode.","277, Thiruvottiyur High Rd, Chinna Mettupalaiyam, Kaladipet, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1538656,80.3004719,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
47,01-Thiruvottyur,012,SUMAN HOSPITAL,"NO. 40, SATHANGADU HIGH ROAD, KALADIPET,
THIRUVOTTIYUR, CHENNAI 600019","NO. 40, SATHANGADU HIGH ROAD, KALADIPET,
THIRUVOTTIYUR, CHENNAI 600019","2 found, use single geocode.","572W+7CR, Thangal, Sathuma Nagar, Sathangadu, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1507262,80.2960152,"beauty_salon, establishment, point_of_interest",GEOMETRIC_CENTER,600019,Chennai,India,Tamil Nadu
48,01-Thiruvottyur,013,VANDANA HOSPITAL,"96/24,VILLAGE STREET THIRUVOTTIYUR
SATHANGADU 600019","96/24,VILLAGE STREET THIRUVOTTIYUR
SATHANGADU 600019",Ok,"96, Village St, Sathuma Nagar, Sathangadu, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.148728,80.2941096,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
49,01-Thiruvottyur,013,SUMAN HOSPITAL,"63-A1,A2,JANDRAWAR STREET THIRUVOTTIYUR
RAJAKADAI 600019","63-A1,A2,JANDRAWAR STREET THIRUVOTTIYUR
RAJAKADAI 600019","Ok, partial match","Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1588937,80.3032037,"political, sublocality, sublocality_level_2",APPROXIMATE,600019,Chennai,India,Tamil Nadu
50,01-Thiruvottyur,014,ARAVINTH CLINIC,"3,P.P.DHARGA ROAD THIRUVOTTIYUR SATHANGADU
600019","3,P.P.DHARGA ROAD THIRUVOTTIYUR SATHANGADU
600019","2 found, use single geocode.","Sathangadu, Tiruvottiyur, Chennai, Tamil Nadu, India",13.1478614,80.2941488,"political, sublocality, sublocality_level_2",APPROXIMATE,,Chennai,India,Tamil Nadu
51,01-Thiruvottyur,014,ROHIT HOSPITAL,"98/1031, TH ROAD, KALADIPET, CHENNAI 600019","98/1031, TH ROAD, KALADIPET, CHENNAI 600019",Ok,"98, Thiruvottiyur High Rd, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1511915,80.299718,street_address,RANGE_INTERPOLATED,600019,Chennai,India,Tamil Nadu
52,02-Manali,015,GOVT. PRIMARY HEALTH CENTRE,MAIN ROAD MANALI PUDU NAGAR 600103,MAIN ROAD MANALI PUDU NAGAR 600103,"Ok, partial match","Manali, Himachal Pradesh, India",32.2431872,77.1891761,"locality, political",APPROXIMATE,,Manali,India,Himachal Pradesh
53,02-Manali,018,GOVT. PRIMARY HEALTH CENTRE,PADASALAI STREET   MANALI 600068,PADASALAI STREET MANALI 600068,Ok,"Padasalai St, Periya Thoppu, Manali, Chennai, Tamil Nadu 600051, India",13.167086,80.2585321,route,GEOMETRIC_CENTER,600051,Chennai,India,Tamil Nadu
54,02-Manali,019,LAKSHMI NURSING HOME,"H.I.G. NO.435, MATHUR UNION ROAD MMDA,
MATHUR CHENNAI 600068","H.I.G. NO.435, MATHUR UNION ROAD MMDA,
MATHUR CHENNAI 600068","Ok, partial match","MMDA, TNHB Layout, Mathur, Tamil Nadu 600051, India",13.1684411,80.2450263,"political, sublocality, sublocality_level_3",APPROXIMATE,600051,Mathur,India,Tamil Nadu
55,02-Manali,019,JEEVODAYA HOSPITAL,"NEW NO.1/272, KAMARAJ ROAD MATHUR, CHENNAI
600068","NEW NO.1/272, KAMARAJ ROAD MATHUR, CHENNAI
600068","Ok, partial match","1, Kamaraj Salai, Mathur, Tamil Nadu 600051, India",13.1674257,80.2418763,street_address,RANGE_INTERPOLATED,600051,Mathur,India,Tamil Nadu
56,02-Manali,020,ANAND HOSPITAL,"NO.201, KAMARAJAR SALAI MANALI, CHENNAI
600068","NO.201, KAMARAJAR SALAI MANALI, CHENNAI
600068",Ok,"201, Kamaraj Salai, Chinnasekkadu, Manali, Chennai, Tamil Nadu 600051, India",13.162716,80.2610533,street_address,RANGE_INTERPOLATED,600051,Chennai,India,Tamil Nadu
57,02-Manali,021,SRINIVASA HOSPITAL,KAMARAJ SALAI MANALI 600068,KAMARAJ SALAI MANALI 600068,Ok,"Kamaraj Salai, Chennai, Tamil Nadu 600068, India",13.1617974,80.2660496,route,GEOMETRIC_CENTER,600068,Chennai,India,Tamil Nadu
58,02-Manali,021,ANANTH HOSPITAL,KAMARAJ SALAI MANALI 600068,KAMARAJ SALAI MANALI 600068,Ok,"Kamaraj Salai, Chennai, Tamil Nadu 600068, India",13.1617974,80.2660496,route,GEOMETRIC_CENTER,600068,Chennai,India,Tamil Nadu
59,02-Manali,021,SORNAM MEDICAL CENTRE,NO 323/214 KAMARAJ SALAI   MANALI 600068,NO 323/214 KAMARAJ SALAI MANALI 600068,Ok,"323, Kamaraj Salai, Vimlapuram, Chinnasekkadu, Manali, Chennai, Tamil Nadu 600068, India",13.1633704,80.260108,premise,ROOFTOP,600068,Chennai,India,Tamil Nadu
60,03-Madhavaram,023,ST. ANTONYS HOSPITAL,"ANTHONIYAR  KOIL STREET PUZHAL CHENNAI
600066","ANTHONIYAR KOIL STREET PUZHAL CHENNAI
600066","2 found, use single geocode.","Anthoniyar Koil St, Mahathma Gandhi Nagar, Tharamani, Chennai, Tamil Nadu 600113, India",12.9818663,80.2421288,route,GEOMETRIC_CENTER,600113,Chennai,India,Tamil Nadu
61,03-Madhavaram,026,LAKE VIEW HOSPITAL,PRH ROAD LAKSHMIPURAM CHENNAI 600099,PRH ROAD LAKSHMIPURAM CHENNAI 600099,Ok,"Perambur Red Hills High Rd, Lakshmipuram, Chennai, Tamil Nadu, India",13.1380949,80.2073363,route,GEOMETRIC_CENTER,,Chennai,India,Tamil Nadu
62,03-Madhavaram,026,MADHAVARAM MUNICIPAL HOSPITAL,MADHAVARAM MADHAVARAM CHENNAI 600060,MADHAVARAM MADHAVARAM CHENNAI 600060,Ok,"Madhavaram, Chennai, Tamil Nadu, India",13.1487898,80.2305586,"political, sublocality, sublocality_level_1",APPROXIMATE,,Chennai,India,Tamil Nadu
63,03-Madhavaram,027,GOVERNMENT HOSPITAL,MMC MMC CHENNAI 600051,MMC MMC CHENNAI 600051,Ok,"Madhavaram Milk Colony, Chennai, Tamil Nadu, India",13.1505463,80.2418734,"political, sublocality, sublocality_level_1",APPROXIMATE,,Chennai,India,Tamil Nadu
64,03-Madhavaram,030,PRIYA NURSING HOME,MRH ROAD MADHAVARAM CHENNAI 600060,MRH ROAD MADHAVARAM CHENNAI 600060,Ok,"Madavaram Red Hills Rd, Madhavaram, Chennai, Tamil Nadu, India",13.1490032,80.2303367,route,GEOMETRIC_CENTER,,Chennai,India,Tamil Nadu
65,03-Madhavaram,030,KM MULTI SPECIALITY HOSPITAL,"8,ANNAI VELANKANNI NAGAR MMC CHENNAI 600051","8,ANNAI VELANKANNI NAGAR MMC CHENNAI 600051","Ok, partial match","Annai Velankanni Nagar, Chennai, Tamil Nadu 600118, India",13.1440287,80.2401474,"political, sublocality, sublocality_level_3",APPROXIMATE,600118,Chennai,India,Tamil Nadu
66,03-Madhavaram,030,VENETHA NURSING HOME,MRH ROAD MADHAVARAM CHENNAI 600060,MRH ROAD MADHAVARAM CHENNAI 600060,Ok,"Madavaram Red Hills Rd, Madhavaram, Chennai, Tamil Nadu, India",13.1490032,80.2303367,route,GEOMETRIC_CENTER,,Chennai,India,Tamil Nadu
67,03-Madhavaram,031,ST.ANTONY'S HOSPITAL,MRH ROAD MADHAVARAM CHENNAI 600060,MRH ROAD MADHAVARAM CHENNAI 600060,Ok,"Madavaram Red Hills Rd, Madhavaram, Chennai, Tamil Nadu, India",13.1490032,80.2303367,route,GEOMETRIC_CENTER,,Chennai,India,Tamil Nadu
68,03-Madhavaram,031,MURARI HOSPITAL,MRH ROAD MADHAVARAM CHENNAI 600060,MRH ROAD MADHAVARAM CHENNAI 600060,Ok,"Madavaram Red Hills Rd, Madhavaram, Chennai, Tamil Nadu, India",13.1490032,80.2303367,route,GEOMETRIC_CENTER,,Chennai,India,Tamil Nadu
